Timestamp,Pokemon,Level,IVs,Player Moveset,Zacian Blade Boost,Boss,Weather,Boss Moveset ,Zamazenta Shield Boost,Dodges,Timing Modifiers,# of Charge moves cast,Boss FM Tanked,Ticks,Seconds,Main DPS,Trailing DPS,CT DPS,Risk
7/19/2026 13:28:56,Shadow Dialga,50,15/x/15,Dragon Breath / Draco Meteor,Yes,Reshiram,windy,Fire Fang / Overheat,No,None,None,1,1,,,60,55.7,52,No
7/19/2026 14:18:25,Shadow Regigigas,50,15/x/15,Hidden Power Rock / Crush Grip,Yes,Reshiram,windy,Fire Fang / Draco Meteor,No,None,None,1,1,,,74.3,65,57.8,No
7/19/2026 14:25:50,Shadow Regigigas,50,15/15/15,Zen Headbutt / Crush Grip,Yes,Palkia,windy,Dragon Breath / Draco Meteor,No,None,None,1,1,,,64.8,57.6,51.8,No
7/19/2026 14:26:25,Shadow Dialga,50,15/x/15,Dragon Breath / Draco Meteor,Yes,Palkia,windy,Dragon Breath / Draco Meteor,No,None,None,1,1,,,65.1,59.7,55.1,No
7/19/2026 14:27:04,Shadow Garchomp,50,15/15/15,Dragon Tail / Breaking Swipe,Yes,Palkia,windy,Dragon Breath / Hydro Pump,No,None,None,2,0,,,68,58.3,51,No
