Category,Boss Name,Star,Strat,FM,CM,Weather,Adventure effect,Pokemon 1,Roles,FM,CM,Pokemon 2,Roles,FM,CM,Pokemon 3,Roles,FM,CM,Pokemon 4,Roles,FM,CM,Pokemon 5,Roles,FM,CM,Pokemon 6,Roles,FM,CM,VOD,Link,Notes
Elite,Regidrago,5 ⭐,Catch Tank,Dragon Breath,Outrage,Windy,https://cdn2.steamgriddb.com/icon_thumb/55e643e737da20b912037cce912305fb.png,Eternatus,"Main DPS, 1x",Dragon tail,Dynamax Cannon,Mega Rayquaza,"Support DPS, Executor, 1x",Dragon tail,Breaking Swipe,Kyurem Black,"Catch Tank, 4x",Dragon tail,Freeze Shock,,,,,,,,,,,,,,,
T6,Mega Rayquaza,7 ⭐,DBP / CT,Air Slash,Outrage,Extreme,https://cdn2.steamgriddb.com/icon_thumb/55e643e737da20b912037cce912305fb.png,Kyurem White,"Main DPS, 1x",Ice Fang,Ice Burn,Kyurem White,"Support DPS, 1x",Ice Fang,Ice Burn,Kyurem Black,"Catch Tank, 10x",Dragon tail,Freeze Shock,,,,,,,,,,,,,,,
T6,Mega Rayquaza,6 ⭐,Catch Tank,Air Slash,Outrage,Snow,,Kyurem White,"Main DPS, 1x",Ice Fang,Ice Burn,Kyurem Black,"Catch Tank, 5x",Dragon tail,Freeze Shock,,,,,,,,,,,,,,,,,,,
T6,Mega Rayquaza,5 ⭐,Catch Tank,Air Slash,Outrage,Snow,https://cdn2.steamgriddb.com/icon_thumb/55e643e737da20b912037cce912305fb.png,Kyurem White,"Main DPS, 1x",Ice Fang,Ice Burn,Kyurem Black,"Catch Tank, 5x",Dragon tail,Freeze Shock,,,,,,,,,,,,,,,,,VOD,https://www.youtube.com/watch?v=deB3X4utM0c,"Intense lag, several FM rejoin bugs, 1 CM rejoin bug, 250+ KW lost energy"
